# Live probe of the 122 URLs harvested from .claude/docs/{sports,student-clubs}
# Measured 2026-08-24. Format: <http_status> <effective_url>|<original_url>

200 https://athletics.cannonschool.org/fit-for-life|https://athletics.cannonschool.org/fit-for-life
200 https://247sports.com/college/cincinnati/Institution/Cannon-School-Concord-NC-3910/|https://247sports.com/college/cincinnati/Institution/Cannon-School-Concord-NC-3910/
200 https://www.cannonschool.org/cannon-school-news|https://www.cannonschool.org/cannon-school-news
200 https://athletics.cannonschool.org/athletics-hall-of-fame|https://athletics.cannonschool.org/athletics-hall-of-fame
200 https://en.wikipedia.org/wiki/Jaden_Bradley|https://en.wikipedia.org/wiki/Jaden_Bradley
200 https://www.maxpreps.com/nc/concord/cannon-cougars/basketball/girls/|https://www.maxpreps.com/nc/concord/cannon-cougars/basketball/girls/
200 https://www.maxpreps.com/nc/concord/cannon-cougars/|https://www.maxpreps.com/nc/concord/cannon-cougars/
200 https://www.highschoolot.com/story/cannon-school-girls-basketball-wins-ncisaa-state-championship-against-providence-day/22329610/|https://www.highschoolot.com/story/cannon-school-girls-basketball-wins-ncisaa-state-championship-against-providence-day/22329610/
200 https://athletics.cannonschool.org/facilities|https://www.cannonschool.org/athletics/facilities
200 https://www.nba.com/draft/2026/prospects/jaden-bradley|https://www.nba.com/draft/2026/prospects/jaden-bradley
404 https://alumni.cannonschool.org/page/hall-of-fame-2020-inductees|https://alumni.cannonschool.org/page/hall-of-fame-2020-inductees
200 https://athletics.cannonschool.org/training/athletic-training|https://athletics.cannonschool.org/training/athletic-training
200 https://fan.hudl.com/usa/nc/concord/organization/20702/cannon-high-school|https://fan.hudl.com/usa/nc/concord/organization/20702/cannon-high-school
200 https://www.cannonschool.org/support-cannon/a-flourishing-future|https://www.cannonschool.org/support-cannon/a-flourishing-future
200 https://en.wikipedia.org/wiki/Jarell_Eddie|https://en.wikipedia.org/wiki/Jarell_Eddie
200 https://athletics.cannonschool.org/training/strength-conditioning|https://www.cannonschool.org/athletics/strength-conditioning-program
200 https://www.basketball-reference.com/players/e/eddieja01.html|https://www.basketball-reference.com/players/e/eddieja01.html
404 https://www.cannonschool.org/athletics/team-pages/team-details/~athletics-team-id/153|https://www.cannonschool.org/athletics/team-pages/team-details/~athletics-team-id/153
