ACTION	BUCKET	SCHOOL	COLLEGE	RANK
ADD	lac75	cannon	Muhlenberg College	Liberal Rank #70
ADD	lac75	cannon	Virginia Military Institute	Liberal Rank #65
ADD	lac75	cannon	Wheaton College - IL	Liberal Rank #50
ADD	lac75	carmel-christian	Virginia Military Institute	Liberal Rank #65
ADD	lac75	carmel-christian	Wheaton College	Liberal Rank #50
ADD	lac75	carmel-christian	Whitman College	Liberal Rank #58
ADD	lac75	charlotte-christian	Hillsdale College	Liberal Rank #50
ADD	lac75	charlotte-christian	The University of the South	Liberal Rank #45
ADD	lac75	charlotte-christian	Trinity University	Liberal Rank #37
ADD	lac75	charlotte-christian	Wheaton College	Liberal Rank #50
ADD	lac75	charlotte-country-day	Bard College	Liberal Rank #70
ADD	lac75	charlotte-country-day	Hobart and William Smith Colleges	Liberal Rank #73
ADD	lac75	charlotte-country-day	St. Lawrence University	Liberal Rank #58
ADD	lac75	charlotte-country-day	University of the South (Sewanee)	Liberal Rank #45
ADD	lac75	charlotte-latin	Bard College	Liberal Rank #70
ADD	lac75	charlotte-latin	St. Lawrence University	Liberal Rank #58
ADD	lac75	charlotte-latin	Wheaton College - IL	Liberal Rank #50
ADD	lac75	covenant-day	Bard College	Liberal Rank #70
ADD	lac75	covenant-day	Wheaton College	Liberal Rank #50
ADD	lac75	davidson-day	Bard College	Liberal Rank #70
ADD	lac75	davidson-day	Muhlenberg College	Liberal Rank #70
ADD	lac75	davidson-day	St. Lawrence University	Liberal Rank #58
ADD	lac75	gaston-day	Soka University of America	Liberal Rank #37
ADD	lac75	gaston-day	St. Lawrence University	Liberal Rank #58
ADD	lac75	gaston-day	Whitman College	Liberal Rank #58
ADD	lac75	providence-day	Franklin and Marshall College	Liberal Rank #35
ADD	lac75	providence-day	Hobart and William Smith Colleges	Liberal Rank #73
ADD	lac75	providence-day	Lake Forest College	Liberal Rank #75
ADD	lac75	providence-day	Muhlenberg College	Liberal Rank #70
ADD	lac75	providence-day	Sewanee: University of the South	Liberal Rank #45
ADD	lac75	providence-day	St. Lawrence University	Liberal Rank #58
ADD	lac75	providence-day	Trinity University	Liberal Rank #37
ADD	lac75	providence-day	Washington & Lee University	Liberal Rank #21
ADD	nu75	cannon	George Washington University	National Rank #59
ADD	nu75	cannon	Indiana University (Bloomington)	National Rank #73
ADD	nu75	cannon	Penn State University (University Park)	National Rank #59
ADD	nu75	cannon	Rensselaer Polytechnic Institute	National Rank #64
ADD	nu75	cannon	Rutgers University (New Brunswick)	National Rank #42
ADD	nu75	cannon	SUNY University at Buffalo	National Rank #75
ADD	nu75	cannon	Santa Clara University	National Rank #59
ADD	nu75	cannon	Stony Brook University	National Rank #59
ADD	nu75	cannon	The College of William and Mary	National Rank #51
ADD	nu75	cannon	Tulane University of Louisiana	National Rank #69
ADD	nu75	cannon	University of California (Berkeley)	National Rank #15
ADD	nu75	cannon	University of California (Davis)	National Rank #32
ADD	nu75	cannon	University of California (Irvine)	National Rank #32
ADD	nu75	cannon	University of California (Los Angeles)	National Rank #17
ADD	nu75	cannon	University of California (San Diego)	National Rank #29
ADD	nu75	cannon	University of California (Santa Barbara)	National Rank #40
ADD	nu75	cannon	University of Maryland (College Park)	National Rank #42
ADD	nu75	cannon	University of Massachusetts (Amherst)	National Rank #64
ADD	nu75	cannon	University of Minnesota (Twin Cities)	National Rank #59
ADD	nu75	cannon	University of Pittsburgh (Pittsburgh)	National Rank #69
ADD	nu75	cannon	University of Virginia (Main Campus)	National Rank #26
ADD	nu75	cannon	University of Washington (Seattle Campus)	National Rank #42
ADD	nu75	cannon	University of Wisconsin (Madison)	National Rank #36
ADD	nu75	carmel-christian	University of California-Irvine	National Rank #32
ADD	nu75	charlotte-christian	College of William and Mary	National Rank #51
ADD	nu75	charlotte-christian	George Washington University	National Rank #59
ADD	nu75	charlotte-christian	Indiana University-Bloomington	National Rank #73
ADD	nu75	charlotte-christian	Penn State University	National Rank #59
ADD	nu75	charlotte-christian	Purdue University-Main Campus	National Rank #46
